,vacancy,link,company,city,salary_min,salary_max,salary_currency
71,Data Scientist (Прогнозирование),https://hh.ru/vacancy/81118017?from=vacancy_search_list&query=data+scientist,"Компания «СПОРТМАСТЕР», Sportmaster Lab",Москва,,,
72,Data Scientist (Python),https://hh.ru/vacancy/82644423?from=vacancy_search_list&query=data+scientist,ООО РДП.РУ,Москва,,,
73,Data Scientist,https://hh.ru/vacancy/82421287?from=vacancy_search_list&query=data+scientist,TWINO,"Москва, Павелецкая",,,
74,Data Scientist,https://hh.ru/vacancy/82682774?from=vacancy_search_list&query=data+scientist,Сбер. IT,Москва,,,
75,Data Analyst / Data Scientist (Junior/Junior+),https://hh.ru/vacancy/82331777?from=vacancy_search_list&query=data+scientist,Kept (Кэпт),Москва,,,
76,Senior data scientist,https://hh.ru/vacancy/82307525?from=vacancy_search_list&query=data+scientist,ФГБУ Национальный Медицинский Исследовательский Центр Онкологии Имени Н.Н. Петрова Министерства Здравоохранения Российской Федерации,Санкт-Петербург,300000.0,,₽
77,Data scientist (Ценообразование),https://hh.ru/vacancy/76974214?from=vacancy_search_list&query=data+scientist,"Компания «СПОРТМАСТЕР», Sportmaster Lab","Москва, Аэропорт",,,
78,Middle Data Scientist,https://hh.ru/vacancy/83181947?from=vacancy_search_list&query=data+scientist,ЗАО Группа компаний С7,"Москва, Кузнецкий мост и еще 2 ",,,
79,Data Scientist,https://hh.ru/vacancy/82918125?from=vacancy_search_list&query=data+scientist,Cloud.ru,"Москва, Улица 1905 года",,,
80,Data scientist,https://hh.ru/vacancy/82675818?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ,Санкт-Петербург,,,
81,Middle Data Scientist (Маркетплейс),https://hh.ru/vacancy/81522843?from=vacancy_search_list&query=data+scientist,Самокат (ООО Умное пространство),Москва,,,
82,Data Scientist в рекомендательные системы,https://hh.ru/vacancy/82747210?from=vacancy_search_list&query=data+scientist,Сбер. IT,Нижний Новгород,,,
83,Middle/Senior Data Scientist (Эмбеддинги),https://hh.ru/vacancy/81524138?from=vacancy_search_list&query=data+scientist,"Иннотех, Группа компаний",Москва,,,
84,Data Scientist,https://hh.ru/vacancy/82841754?from=vacancy_search_list&query=data+scientist,"Inventive Retail Group, Офис","Москва, Шелепиха и еще 1 ",,,
85,Инженер AI&ML (Data Scientist),https://hh.ru/vacancy/82179681?from=vacancy_search_list&query=data+scientist,ООО СЕУСЛАБ,Пермь,,,
86,Data Scientist (Почта),https://hh.ru/vacancy/82676378?from=vacancy_search_list&query=data+scientist,"VK, Почтовые сервисы","Москва, Аэропорт",,,
87,Senior Data Scientist (ChatGPT/Operations),https://hh.ru/vacancy/83165316?from=vacancy_search_list&query=data+scientist,Ostrovok.ru,"Москва, Спортивная",,,
88,Data scientist (Центр валидации моделей розничного бизнеса),https://hh.ru/vacancy/82917785?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",,,
89,Senior Data Scientist,https://hh.ru/vacancy/80800495?from=vacancy_search_list&query=data+scientist,ПАО «Газпром нефть» ИТ,Санкт-Петербург,,,
90,Senior Data Scientist,https://hh.ru/vacancy/83076435?from=vacancy_search_list&query=data+scientist,ПАО БАНК УРАЛСИБ,Москва,,,
91,Data Scientist,https://hh.ru/vacancy/79729655?from=vacancy_search_list&query=data+scientist,СБЕР (ООО еАптека),Москва,,,
92,Lead Data Scientist NLP,https://hh.ru/vacancy/83155962?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
93,Аналитик данных / Data Scientist (middle+),https://hh.ru/vacancy/81311165?from=vacancy_search_list&query=data+scientist,Сибур,"Москва, Профсоюзная",,,
94,Data scientist,https://hh.ru/vacancy/81245944?from=vacancy_search_list&query=data+scientist,"«Почта России», Офис",Москва,,,
95,Data Scientist в Блок Риски,https://hh.ru/vacancy/82433862?from=vacancy_search_list&query=data+scientist,Сбер для экспертов,Москва,,,
96,Senior Data Scientist (ML разработчик),https://hh.ru/vacancy/82936981?from=vacancy_search_list&query=data+scientist,Группа НЛМК ИТ и Диджитал,Москва,,,
97,Data Scientist в отдел валидации,https://hh.ru/vacancy/82674133?from=vacancy_search_list&query=data+scientist,«РОСБАНК»,Москва,,,
98,Data Scientist (HR-модели),https://hh.ru/vacancy/82347150?from=vacancy_search_list&query=data+scientist,Газпромбанк,Москва,,,
99,Senior Data Scientist,https://hh.ru/vacancy/82213529?from=vacancy_search_list&query=data+scientist,Сбер. IT,"Москва, Кутузовская",,,
100,Senior Data Scientist в команду SME Chat,https://hh.ru/vacancy/81312951?from=vacancy_search_list&query=data+scientist,Райффайзен Банк,"Москва, Технопарк",,,
101,Senior Data Scientist / Математик,https://hh.ru/vacancy/77799312?from=vacancy_search_list&query=data+scientist,Циан,Москва,,,
102,Data Scientist (Computer Vision),https://hh.ru/vacancy/82567209?from=vacancy_search_list&query=data+scientist,ООО БиАйЭй-Технолоджиз,"Санкт-Петербург, Фрунзенская",,,
103,Data Scientist (риски),https://hh.ru/vacancy/82232163?from=vacancy_search_list&query=data+scientist,ООО Бюро кредитных историй Скоринг Бюро,Москва,,,
104,Data Scientist (Middle\Senior),https://hh.ru/vacancy/82660178?from=vacancy_search_list&query=data+scientist,Газпромбанк,Москва,,,
105,Senior Data Scientist,https://hh.ru/vacancy/82701142?from=vacancy_search_list&query=data+scientist,Сбер. Data Science,Москва,,,
106,"Старший Data Scientist, Маркетплейс, Сервисы обработки текстов",https://hh.ru/vacancy/82550578?from=vacancy_search_list&query=data+scientist,Ozon Информационные технологии,"Москва, Выставочная и еще 2 ",,,
107,Lead/Senior Data Scientist,https://hh.ru/vacancy/81350907?from=vacancy_search_list&query=data+scientist,ООО Axenix (ранее Accenture),"Москва, Павелецкая",,,
108,Data Scientist (Команда Addy),https://hh.ru/vacancy/82463500?from=vacancy_search_list&query=data+scientist,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская",,,
109,Data Scientist (myTracker),https://hh.ru/vacancy/82262249?from=vacancy_search_list&query=data+scientist,VK,Москва,,,
110,Senior Data Scientist,https://hh.ru/vacancy/80493882?from=vacancy_search_list&query=data+scientist,ООО Страховая компания Сбербанк страхование,"Москва, Проспект Мира",,,
